option_type,S,K,r,q,sigma,T,t,value
EC,54.0,34.0,0.044,0.031,0.264,2.0,1.68,19.943869626558303
EP,70.0,90.0,0.071,0.189,0.38,3.0,0.16,35.962026142781674
EP,130.0,135.0,0.014,0.048,0.184,2.0,0.07,20.1773633882613
EC,70.0,76.0,0.052,0.175,0.141,5.0,1.15,0.10725659968154755
EC,124.0,104.0,0.072,0.144,0.152,2.0,1.96,19.586902175982758
EP,115.0,95.0,0.013,0.155,0.134,5.0,4.26,1.4943551177046182
EC,150.0,154.0,0.081,0.084,0.27,3.0,0.87,17.89889443944682
BC,96.0,108.0,0.029,0.08,0.139,5.0,1.71,0.1427683253397168
BP,105.0,112.0,0.032,0.076,0.375,2.0,0.71,0.5072552882229916
EC,124.0,108.0,0.085,0.2,0.366,3.0,1.37,14.78323057006719
EP,149.0,159.0,0.089,0.055,0.283,4.0,0.14,21.854616392303207
EC,56.0,45.0,0.074,0.005,0.226,4.0,2.27,16.806552269984167
EC,108.0,126.0,0.052,0.034,0.242,2.0,0.82,5.690134986666411
BP,86.0,98.0,0.02,0.074,0.143,3.0,0.7,0.8183882287170948
EP,146.0,129.0,0.028,0.191,0.153,5.0,3.38,19.214951616183995
EC,55.0,53.0,0.06,0.007,0.223,4.0,1.09,13.017292039776088
EC,66.0,53.0,0.065,0.033,0.229,4.0,2.15,16.79096892470811
EP,140.0,124.0,0.08,0.109,0.266,2.0,1.69,2.4444504483429093
EC,53.0,66.0,0.022,0.099,0.37,5.0,1.32,4.568307876126466
EP,92.0,79.0,0.082,0.183,0.351,3.0,0.3,17.42825531989095
EC,114.0,115.0,0.058,0.029,0.213,5.0,3.47,13.239996894647163
EP,98.0,100.0,0.045,0.094,0.192,4.0,0.02,21.296891740296424
EP,137.0,126.0,0.023,0.117,0.29,5.0,4.47,8.636348457313709
EP,139.0,132.0,0.064,0.121,0.254,3.0,0.93,20.19825256462088
EP,98.0,83.0,0.081,0.002,0.368,4.0,2.73,5.516322259632535
EP,97.0,114.0,0.073,0.133,0.344,2.0,0.15,30.711700462772868
EP,59.0,71.0,0.093,0.034,0.348,2.0,0.24,13.089025952682373
EP,127.0,120.0,0.049,0.137,0.179,5.0,4.33,6.906131889524801
EC,106.0,122.0,0.015,0.075,0.341,5.0,2.97,9.222564925836341
EC,108.0,90.0,0.053,0.02,0.35,4.0,1.8,32.569619168804195
EC,83.0,74.0,0.031,0.073,0.191,5.0,0.84,7.974795690652645
EC,58.0,42.0,0.053,0.113,0.223,1.0,0.73,14.860943146961922
EC,64.0,62.0,0.023,0.162,0.142,1.0,0.18,1.1856890406810123
EC,121.0,113.0,0.011,0.172,0.267,5.0,2.55,4.799314060936428
EP,110.0,125.0,0.041,0.156,0.362,1.0,0.76,19.942431890390182
EP,89.0,86.0,0.03,0.099,0.384,5.0,0.37,31.45803664587018
EC,89.0,105.0,0.048,0.148,0.389,2.0,1.54,2.910671528356854
BC,145.0,155.0,0.069,0.156,0.185,5.0,4.35,0.21619684220867838
EP,101.0,103.0,0.055,0.094,0.297,3.0,1.1,18.893819423089006
EC,85.0,87.0,0.098,0.153,0.314,3.0,0.4,7.928870119223699
EP,87.0,74.0,0.05,0.069,0.173,2.0,0.14,3.15555213123902
EC,79.0,66.0,0.071,0.195,0.239,4.0,0.08,3.1178123137765787
BP,122.0,141.0,0.03,0.08,0.193,2.0,1.37,0.8424856166868614
EP,61.0,71.0,0.039,0.178,0.168,4.0,0.06,30.727446302494045
EP,55.0,61.0,0.018,0.04,0.198,1.0,0.82,6.4271731183815035
EP,53.0,47.0,0.096,0.002,0.26,2.0,1.77,0.39183265509199305
EP,75.0,60.0,0.077,0.04,0.1,5.0,0.77,0.13631776084693858
EC,72.0,66.0,0.03,0.083,0.242,1.0,0.56,6.779018821610983
EC,147.0,129.0,0.065,0.054,0.275,3.0,0.52,31.140894890032683
EP,132.0,120.0,0.064,0.018,0.384,1.0,0.73,4.601599821729565
EP,129.0,117.0,0.044,0.115,0.298,2.0,1.16,10.421201158731442
EP,121.0,107.0,0.072,0.095,0.253,4.0,2.12,9.873597059853871
EP,93.0,81.0,0.047,0.075,0.269,3.0,0.54,10.06564105433215
EP,108.0,103.0,0.042,0.155,0.223,4.0,1.11,26.219121558815004
EC,101.0,109.0,0.03,0.048,0.243,2.0,1.54,3.2875001276511
EC,133.0,144.0,0.064,0.186,0.391,5.0,1.58,9.189905738564214
EC,116.0,136.0,0.071,0.189,0.147,1.0,0.67,0.03258172929405578
EP,70.0,79.0,0.045,0.038,0.249,2.0,1.22,11.320542679445353
EP,148.0,149.0,0.09,0.136,0.256,3.0,2.45,12.939947210122398
BC,141.0,159.0,0.062,0.03,0.307,4.0,0.4,0.48902731860907556
EP,77.0,95.0,0.05,0.049,0.371,3.0,1.33,24.581107420196496
EC,55.0,38.0,0.022,0.089,0.302,2.0,0.68,13.714678431537504
EC,146.0,159.0,0.048,0.129,0.397,3.0,1.52,14.128841959841196
EC,97.0,112.0,0.086,0.144,0.217,3.0,0.46,2.977427888311686
EP,68.0,62.0,0.078,0.15,0.386,4.0,0.2,16.557949466417426
EP,76.0,79.0,0.073,0.004,0.162,4.0,1.66,3.482664464682415
EP,102.0,116.0,0.029,0.001,0.399,2.0,0.94,23.238169265647315
EP,89.0,93.0,0.059,0.013,0.281,4.0,0.99,12.169108441423944
EC,128.0,131.0,0.038,0.149,0.33,2.0,0.77,9.140422547860815
EP,125.0,137.0,0.043,0.093,0.133,4.0,2.89,19.158816957435334
EP,78.0,82.0,0.045,0.101,0.202,5.0,3.68,12.15615088108084
EC,69.0,69.0,0.066,0.113,0.119,5.0,2.6,1.693795840809532
EC,143.0,124.0,0.02,0.121,0.381,2.0,0.48,21.564459272712263
EP,65.0,72.0,0.032,0.126,0.179,1.0,0.66,9.27229019466612
EC,131.0,123.0,0.077,0.108,0.118,5.0,2.24,6.620728324766212
EC,113.0,94.0,0.067,0.052,0.141,1.0,0.39,19.410968311075408
EC,147.0,131.0,0.033,0.021,0.123,5.0,4.36,17.454831903473263
EC,150.0,144.0,0.041,0.112,0.312,2.0,0.61,15.702592481295497
BP,101.0,93.0,0.065,0.149,0.205,3.0,0.84,0.4957808568528387
EP,120.0,112.0,0.029,0.166,0.395,3.0,1.32,28.84422045686003
EP,50.0,35.0,0.069,0.066,0.362,3.0,2.89,0.0020881722337164066
EP,87.0,74.0,0.025,0.055,0.16,5.0,3.27,3.000398108550769
EC,103.0,115.0,0.058,0.082,0.124,4.0,0.01,2.3069048019425207
EC,80.0,100.0,0.049,0.14,0.109,1.0,0.36,0.0012295589268651666
EC,134.0,134.0,0.039,0.11,0.394,1.0,0.22,14.187400567373444
EC,138.0,151.0,0.023,0.119,0.336,4.0,2.88,8.518897939768166
EC,90.0,104.0,0.054,0.09,0.137,3.0,2.49,0.18128178859087285
EC,140.0,150.0,0.045,0.048,0.192,2.0,0.19,9.302352923876512
BP,51.0,54.0,0.057,0.025,0.174,3.0,2.19,0.5234892396293315
EC,139.0,122.0,0.025,0.177,0.257,2.0,1.5,12.736669711823609
EC,88.0,77.0,0.027,0.197,0.263,2.0,1.53,7.952018472514091
EP,103.0,93.0,0.032,0.112,0.364,5.0,1.59,27.389054076056823
EP,117.0,116.0,0.082,0.171,0.313,1.0,0.28,14.434912797049044
EP,75.0,58.0,0.047,0.076,0.216,4.0,1.87,2.960223185204356
EP,66.0,51.0,0.058,0.18,0.368,1.0,0.04,4.329584571035566
BP,145.0,150.0,0.051,0.055,0.224,3.0,1.01,0.44254825716639073
EC,59.0,49.0,0.063,0.148,0.357,1.0,0.49,9.59293030761582
EC,107.0,102.0,0.051,0.156,0.328,2.0,0.8,9.865793495278275
EP,87.0,67.0,0.064,0.07,0.207,3.0,1.49,1.479095264638719
EP,67.0,48.0,0.053,0.147,0.35,2.0,0.78,3.4238592973142374
EC,88.0,96.0,0.023,0.164,0.381,3.0,1.95,5.412182490164511
EP,98.0,103.0,0.062,0.139,0.25,5.0,0.78,29.279087323446326
EC,77.0,73.0,0.056,0.102,0.342,5.0,1.22,11.387474951736952
EP,114.0,124.0,0.093,0.052,0.19,5.0,4.74,10.030166221366713
EP,82.0,91.0,0.072,0.004,0.279,3.0,0.06,11.205988892614016
BC,77.0,68.0,0.066,0.181,0.298,5.0,0.94,0.30096274105269993
EC,134.0,115.0,0.012,0.183,0.15,3.0,0.11,0.9959064758209726
EC,113.0,116.0,0.087,0.018,0.23,1.0,0.3,9.734538628073572
EP,51.0,69.0,0.058,0.071,0.163,4.0,3.21,17.736536882993335
EC,72.0,83.0,0.069,0.122,0.252,5.0,1.86,3.658298042422965
BC,79.0,59.0,0.015,0.179,0.109,2.0,1.0,0.8770201740009979
EC,92.0,112.0,0.092,0.185,0.286,1.0,0.66,0.6319947056699409
EC,134.0,131.0,0.054,0.096,0.374,3.0,0.31,21.496762077924288
EC,146.0,136.0,0.091,0.102,0.268,4.0,1.57,21.012711955525596
EC,70.0,88.0,0.093,0.153,0.306,1.0,0.42,1.093224621353409
EC,73.0,83.0,0.036,0.146,0.305,4.0,2.95,2.7316002184097616
EP,131.0,133.0,0.056,0.107,0.122,1.0,0.39,8.230388944328979
BP,67.0,54.0,0.047,0.157,0.244,1.0,0.69,0.07889373135766233
EP,60.0,65.0,0.068,0.15,0.168,2.0,1.18,9.1864482840057
BC,53.0,36.0,0.064,0.08,0.268,3.0,1.78,0.8486167245017522
EP,119.0,102.0,0.077,0.089,0.263,5.0,0.29,13.360425340638994
EC,76.0,93.0,0.096,0.166,0.273,3.0,2.2,1.376016298445542
EC,137.0,117.0,0.088,0.172,0.257,1.0,0.12,16.227823246724547
EP,69.0,58.0,0.085,0.101,0.381,1.0,0.05,4.72077594592286
EC,91.0,80.0,0.04,0.15,0.126,2.0,1.49,6.779512362753458
EC,112.0,122.0,0.058,0.017,0.195,4.0,0.89,16.493192945081802
EP,120.0,127.0,0.057,0.181,0.143,4.0,0.68,39.61602274092396
EP,68.0,52.0,0.023,0.007,0.293,1.0,0.34,0.82966130656059
EP,122.0,121.0,0.042,0.133,0.318,4.0,1.63,31.114129843452595
EC,135.0,154.0,0.052,0.069,0.333,1.0,0.27,7.646445378329261
EP,96.0,97.0,0.081,0.001,0.272,4.0,3.56,5.700264586971251
EC,129.0,124.0,0.059,0.104,0.133,1.0,0.43,5.718602115906819
EC,96.0,87.0,0.041,0.097,0.327,4.0,3.99,8.943756369770881
EP,80.0,90.0,0.077,0.177,0.305,2.0,0.16,24.078509574410013
EP,111.0,124.0,0.069,0.186,0.35,3.0,0.95,38.192731087293176
EP,77.0,58.0,0.074,0.2,0.28,2.0,0.78,3.892554782040829
EC,91.0,98.0,0.061,0.173,0.289,5.0,2.85,4.077227457192169
EC,98.0,96.0,0.032,0.051,0.173,5.0,0.67,9.250764987945093
EP,108.0,103.0,0.064,0.125,0.144,2.0,1.71,1.8797125223133762
EP,120.0,111.0,0.058,0.142,0.134,4.0,2.08,11.71655793588468
EP,126.0,128.0,0.064,0.142,0.127,4.0,0.38,27.27279315692843
EC,84.0,96.0,0.028,0.169,0.195,1.0,0.96,0.00015499478628210397
BP,127.0,117.0,0.086,0.092,0.175,3.0,0.93,0.28767970122107733
EC,90.0,94.0,0.015,0.183,0.368,3.0,0.05,4.608811228978428
EP,128.0,143.0,0.049,0.11,0.224,4.0,2.5,28.727924565025333
BC,61.0,46.0,0.1,0.158,0.127,1.0,0.15,0.8998812537965466
EP,92.0,110.0,0.1,0.18,0.17,1.0,0.21,22.154174927366924
EP,143.0,142.0,0.018,0.118,0.217,2.0,0.46,25.20905303362275
EP,128.0,141.0,0.096,0.176,0.183,2.0,0.18,27.702737753543403
EP,78.0,66.0,0.022,0.046,0.249,3.0,2.56,1.0716425808706376
EP,76.0,61.0,0.022,0.169,0.222,2.0,1.6,0.5738533419802634
EP,94.0,108.0,0.069,0.136,0.327,3.0,2.76,16.6386275507207
EP,129.0,126.0,0.081,0.147,0.101,2.0,0.35,11.118964306953899
EP,136.0,116.0,0.048,0.029,0.262,5.0,3.41,6.828600450805748
EC,72.0,81.0,0.038,0.176,0.169,3.0,0.97,0.3018693312366594
EC,94.0,105.0,0.034,0.108,0.391,2.0,1.43,5.387603977183922
EC,72.0,76.0,0.02,0.118,0.296,5.0,0.74,4.139882411894487
EP,108.0,97.0,0.048,0.179,0.261,2.0,0.52,15.065235356081267
EC,91.0,95.0,0.056,0.069,0.359,4.0,1.8,14.271451384843349
EP,141.0,155.0,0.061,0.131,0.192,4.0,1.94,32.59131333101915
EP,103.0,96.0,0.052,0.078,0.126,5.0,2.99,5.451813782160855
EP,109.0,99.0,0.013,0.047,0.129,4.0,2.37,4.672912671301084
EP,120.0,113.0,0.057,0.044,0.127,1.0,0.49,1.3827025424377979
EP,120.0,136.0,0.057,0.124,0.28,3.0,0.98,34.25562233248907
EP,130.0,148.0,0.081,0.07,0.394,2.0,0.6,30.848690631428582
EC,75.0,83.0,0.029,0.136,0.348,2.0,1.53,2.8699708204893426
EP,127.0,124.0,0.085,0.058,0.199,3.0,0.37,8.975310792133754
EC,65.0,76.0,0.043,0.124,0.127,2.0,1.18,0.07564530107489964
EP,52.0,63.0,0.035,0.103,0.29,2.0,1.77,11.945625879980604
EC,137.0,121.0,0.042,0.162,0.157,3.0,1.44,5.55851750157278
EC,142.0,146.0,0.046,0.029,0.123,2.0,0.95,6.290100064578532
EP,112.0,114.0,0.024,0.03,0.272,3.0,0.78,18.79123486024976
EC,70.0,58.0,0.05,0.17,0.227,2.0,0.32,5.842728805533749
EC,110.0,126.0,0.018,0.073,0.378,1.0,0.51,4.98984421653736
EP,53.0,70.0,0.018,0.164,0.321,3.0,0.89,31.040806970194236
EP,70.0,65.0,0.066,0.136,0.274,5.0,4.2,5.521241648280405
EP,130.0,125.0,0.011,0.029,0.28,2.0,0.27,17.497363811407865
BP,147.0,164.0,0.066,0.014,0.184,3.0,1.13,0.41469942536833565
EP,83.0,100.0,0.048,0.008,0.122,4.0,3.77,16.056487384598313
EC,131.0,137.0,0.045,0.004,0.189,2.0,1.58,4.811407839905257
EC,142.0,131.0,0.032,0.105,0.236,1.0,0.23,12.324413340029736
EC,116.0,131.0,0.098,0.142,0.315,5.0,0.06,9.378200801019094
BC,88.0,74.0,0.05,0.127,0.171,3.0,0.29,0.44186613747225784
EC,97.0,86.0,0.05,0.077,0.293,1.0,0.37,13.4568035956651
EP,115.0,134.0,0.079,0.094,0.353,5.0,4.03,27.152096348387104
EP,84.0,70.0,0.086,0.142,0.159,4.0,2.94,1.4534113580587675
EC,127.0,138.0,0.034,0.175,0.308,2.0,1.32,4.4199328779045395
